region,06.02.2021,05.02.2021,04.02.2021,03.02.2021,02.02.2021,01.02.2021,31.01.2021,30.01.2021,29.01.2021,28.01.2021,27.01.2021,26.01.2021,25.01.2021,24.01.2021,23.01.2021,22.01.2021,21.01.2021,20.01.2021,19.01.2021,18.01.2021,17.01.2021,16.01.2021,15.01.2021,14.01.2021,13.01.2021,12.01.2021,11.01.2021,10.01.2021,09.01.2021,08.01.2021,07.01.2021,06.01.2021,05.01.2021,04.01.2021,03.01.2021,02.01.2021,01.01.2021,31.12.2020,30.12.2020,29.12.2020,28.12.2020,27.12.2020,26.12.2020,25.12.2020,24.12.2020,23.12.2020,22.12.2020,21.12.2020,20.12.2020,19.12.2020,18.12.2020,17.12.2020,16.12.2020,15.12.2020,14.12.2020,13.12.2020,12.12.2020,11.12.2020,10.12.2020,09.12.2020,08.12.2020,07.12.2020,06.12.2020,05.12.2020,04.12.2020,03.12.2020,02.12.2020,01.12.2020,30.11.2020,29.11.2020,28.11.2020,27.11.2020,26.11.2020,25.11.2020,24.11.2020,23.11.2020,22.11.2020,21.11.2020,20.11.2020,19.11.2020,18.11.2020,17.11.2020,16.11.2020,15.11.2020,14.11.2020,13.11.2020,12.11.2020,11.11.2020,10.11.2020,09.11.2020,08.11.2020,07.11.2020,06.11.2020,05.11.2020,04.11.2020,03.11.2020,02.11.2020,01.11.2020,31.10.2020,30.10.2020,29.10.2020,28.10.2020,27.10.2020,26.10.2020,25.10.2020,24.10.2020,23.10.2020,22.10.2020,21.10.2020,20.10.2020,19.10.2020,18.10.2020,17.10.2020,16.10.2020,15.10.2020,14.10.2020,13.10.2020,12.10.2020,11.10.2020,10.10.2020,09.10.2020,08.10.2020,07.10.2020,06.10.2020,05.10.2020,04.10.2020,03.10.2020,02.10.2020,01.10.2020,30.09.2020,29.09.2020,28.09.2020,27.09.2020,26.09.2020,25.09.2020,24.09.2020,23.09.2020,22.09.2020,21.09.2020,20.09.2020,19.09.2020,18.09.2020,17.09.2020,16.09.2020,15.09.2020,14.09.2020,13.09.2020,12.09.2020,11.09.2020,10.09.2020,09.09.2020,08.09.2020,07.09.2020,06.09.2020,05.09.2020,04.09.2020,03.09.2020,02.09.2020,01.09.2020,31.08.2020,30.08.2020,29.08.2020,28.08.2020,27.08.2020,26.08.2020,25.08.2020,24.08.2020,23.08.2020,22.08.2020,21.08.2020,20.08.2020,19.08.2020,18.08.2020,17.08.2020,16.08.2020,15.08.2020,14.08.2020,13.08.2020,12.08.2020,11.08.2020,10.08.2020,09.08.2020,08.08.2020,07.08.2020,06.08.2020,05.08.2020,04.08.2020,03.08.2020,02.08.2020,01.08.2020,31.07.2020,30.07.2020,29.07.2020,28.07.2020,27.07.2020,26.07.2020,25.07.2020,24.07.2020,23.07.2020,22.07.2020,21.07.2020,20.07.2020,19.07.2020,18.07.2020,17.07.2020,16.07.2020,15.07.2020,14.07.2020,13.07.2020,12.07.2020,11.07.2020,10.07.2020,09.07.2020,08.07.2020,07.07.2020,06.07.2020,05.07.2020,04.07.2020,03.07.2020,02.07.2020,01.07.2020,30.06.2020,29.06.2020,28.06.2020,27.06.2020,26.06.2020,25.06.2020,24.06.2020,23.06.2020,22.06.2020,21.06.2020,20.06.2020,19.06.2020,18.06.2020,17.06.2020,16.06.2020,15.06.2020,14.06.2020,13.06.2020,12.06.2020,11.06.2020,10.06.2020,09.06.2020,08.06.2020,07.06.2020,06.06.2020,05.06.2020,04.06.2020,03.06.2020,02.06.2020,01.06.2020,31.05.2020,30.05.2020,29.05.2020,28.05.2020,27.05.2020,26.05.2020,25.05.2020,24.05.2020,23.05.2020,22.05.2020,21.05.2020,20.05.2020,19.05.2020,18.05.2020,17.05.2020,16.05.2020,15.05.2020,14.05.2020,13.05.2020,12.05.2020,11.05.2020,10.05.2020,09.05.2020,08.05.2020,07.05.2020,06.05.2020,05.05.2020,04.05.2020,03.05.2020,02.05.2020,01.05.2020,30.04.2020,29.04.2020,28.04.2020,27.04.2020,26.04.2020,25.04.2020,24.04.2020,23.04.2020,22.04.2020,21.04.2020,20.04.2020,19.04.2020,18.04.2020,17.04.2020,16.04.2020,15.04.2020,14.04.2020,13.04.2020,12.04.2020,11.04.2020,10.04.2020,09.04.2020,08.04.2020,07.04.2020,06.04.2020,05.04.2020,04.04.2020,03.04.2020,02.04.2020,01.04.2020,31.03.2020,30.03.2020,29.03.2020,28.03.2020,27.03.2020,26.03.2020
Красноярский край,58200,57922,57638,57346,57047,56740,56435,56126,55815,55501,55184,54863,54539,54218,53895,53570,53244,52920,52594,52272,51951,51631,51308,50983,50656,50334,50019,49703,49385,49068,48750,48433,48113,47795,47476,47156,46833,46513,46192,45870,45545,45218,44892,44564,44236,43907,43576,43246,42915,42585,42253,41919,41584,41251,40916,40582,40246,39910,39573,39237,38897,38560,38228,37899,37568,37236,36903,36568,36232,35898,35563,35230,34894,34560,34227,33891,33556,33220,32886,32550,32217,31882,31553,31226,30898,30570,30240,29911,29584,29256,28927,28601,28279,27962,27650,27342,27039,26741,26445,26152,25860,25572,25293,25016,24742,24471,24203,23944,23696,23459,23194,22976,22754,22534,22322,22118,21923,21739,21565,21389,21214,21049,20882,20724,20587,20467,20345,20232,20117,20001,19887,19775,19668,19565,19464,19362,19260,19157,19055,18954,18852,18751,18648,18547,18445,18344,18242,18139,18038,17936,17834,17729,17626,17520,17413,17304,17197,17089,16979,16870,16760,16649,16539,16428,16316,16202,16089,15974,15862,15748,15631,15517,15402,15285,15167,15051,14932,14812,14691,14568,14446,14319,14190,14062,13936,13807,13680,13550,13422,13288,13145,13000,12859,12734,12581,12419,12244,12057,11923,11790,11655,11528,11403,11276,11149,11020,10889,10756,10628,10500,10369,10235,10106,9978,9848,9716,9585,9452,9316,9181,9044,8904,8760,8619,8476,8331,8182,8029,7875,7726,7580,7432,7280,7129,6973,6813,6655,6494,6328,6159,5981,5791,5617,5460,5301,5136,4968,4795,4654,4530,4380,4249,4121,3985,3847,3700,3558,3410,3265,3119,2971,2821,2445,1941,1872,1765,1651,1590,1542,1521,1428,1201,1143,1070,964,933,910,868,823,781,764,714,666,609,574,527,508,467,449,427,392,370,306,300,276,231,202,142,131,110,85,60,39,39,39,32,32,29,25,25,25,20,14,14,12,12,8,8
Курганская область,15800,15706,15610,15515,15423,15330,15235,15141,15045,14950,14852,14752,14654,14555,14453,14353,14252,14147,14040,13929,13820,13708,13592,13478,13372,13267,13166,13062,12953,12847,12742,12632,12525,12421,12316,12208,12102,11992,11885,11781,11680,11577,11472,11359,11255,11149,11044,10934,10830,10723,10612,10503,10394,10287,10186,10081,9974,9864,9754,9645,9539,9434,9326,9219,9114,9011,8906,8800,8696,8591,8485,8381,8274,8169,8067,7963,7862,7763,7660,7559,7461,7367,7275,7182,7086,6992,6897,6805,6711,6618,6528,6435,6344,6257,6175,6091,6010,5931,5853,5776,5696,5617,5539,5462,5383,5304,5226,5149,5074,4998,4924,4849,4775,4703,4633,4565,4498,4434,4369,4303,4239,4178,4118,4064,4009,3950,3911,3874,3839,3803,3768,3736,3706,3675,3642,3611,3583,3553,3525,3499,3472,3447,3419,3389,3361,3336,3310,3282,3253,3224,3198,3172,3145,3121,3096,3071,3050,3027,3003,2981,2957,2934,2914,2891,2870,2846,2824,2800,2777,2752,2729,2703,2679,2654,2628,2601,2578,2558,2541,2523,2507,2490,2471,2450,2426,2398,2368,2336,2303,2267,2234,2199,2163,2126,2091,2055,2017,1979,1936,1894,1850,1803,1752,1703,1653,1601,1546,1490,1432,1368,1303,1240,1180,1119,1058,1000,947,905,864,834,794,786,753,739,700,679,660,625,591,571,528,501,473,441,422,413,404,384,369,355,344,330,314,306,288,280,268,259,255,252,245,231,218,202,199,192,189,183,179,177,169,150,133,130,119,111,109,103,95,86,84,79,73,71,65,61,56,55,52,51,49,45,40,39,33,31,29,27,22,20,15,15,13,13,13,12,11,10,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1
Курская область,27322,27151,26974,26802,26632,26459,26283,26105,25928,25749,25571,25392,25212,25028,24845,24661,24478,24297,24118,23944,23768,23587,23407,23229,23054,22880,22710,22539,22363,22189,22014,21841,21668,21494,21323,21154,20980,20798,20613,20429,20246,20064,19884,19701,19514,19328,19146,18967,18790,18609,18415,18231,18046,17867,17687,17511,17333,17151,16973,16798,16625,16454,16290,16123,15953,15782,15613,15445,15280,15124,14964,14805,14649,14492,14340,14186,14033,13883,13728,13577,13427,13274,13123,12975,12825,12678,12533,12390,12251,12110,11972,11833,11697,11561,11423,11288,11155,11025,10898,10774,10652,10531,10411,10294,10182,10072,9966,9863,9764,9667,9562,9466,9369,9276,9186,9101,9021,8935,8852,8768,8687,8607,8528,8453,8383,8320,8262,8209,8159,8108,8056,8011,7971,7927,7885,7845,7801,7764,7735,7709,7682,7651,7618,7586,7558,7529,7506,7479,7443,7405,7372,7343,7315,7291,7269,7240,7205,7177,7145,7120,7095,7072,7041,7008,6975,6941,6913,6879,6844,6810,6777,6741,6711,6683,6656,6628,6605,6576,6548,6514,6483,6459,6433,6404,6372,6345,6316,6294,6270,6240,6215,6189,6162,6137,6116,6087,6056,6026,5991,5957,5921,5893,5861,5828,5799,5765,5734,5701,5666,5634,5600,5560,5514,5466,5422,5383,5340,5294,5243,5193,5138,5080,5021,4958,4882,4817,4747,4673,4607,4550,4482,4403,4333,4256,4181,4118,4058,3994,3922,3839,3769,3690,3619,3561,3501,3425,3357,3272,3199,3123,3063,3000,2922,2851,2787,2719,2648,2581,2507,2422,2339,2258,2177,2095,2015,1936,1855,1777,1697,1621,1554,1484,1410,1339,1268,1197,1129,1062,997,928,861,792,726,658,590,525,456,389,345,308,276,242,220,196,170,145,120,89,58,58,43,42,21,20,10,4,4,4,4,4,3,3,0,0,0,0,0,0
Ленинградская область,31985,31787,31571,31354,31136,30917,30701,30484,30265,30042,29818,29596,29375,29156,28932,28710,28487,28262,28035,27809,27584,27356,27130,26902,26673,26447,26229,26012,25796,25578,25361,25146,24933,24717,24499,24279,24056,23832,23607,23379,23144,22912,22683,22453,22224,21997,21773,21545,21319,21092,20861,20626,20400,20176,19956,19735,19516,19299,19083,18865,18647,18431,18219,18004,17790,17578,17368,17159,16948,16738,16526,16317,16110,15908,15702,15498,15296,15092,14890,14692,14495,14288,14109,13927,13744,13552,13380,13212,13038,12867,12702,12528,12357,12192,12031,11868,11727,11588,11451,11313,11179,11041,10911,10782,10655,10530,10402,10269,10160,10054,9949,9848,9746,9644,9544,9445,9343,9244,9145,9028,8932,8835,8744,8652,8565,8483,8405,8326,8249,8174,8100,8033,7970,7908,7849,7789,7732,7677,7621,7569,7519,7468,7424,7378,7339,7301,7265,7228,7192,7156,7121,7086,7049,7013,6978,6944,6911,6877,6842,6811,6779,6747,6716,6685,6656,6626,6596,6569,6541,6513,6484,6455,6427,6401,6373,6345,6318,6291,6262,6234,6205,6177,6147,6116,6086,6055,6022,5990,5955,5916,5876,5837,5797,5757,5710,5669,5626,5583,5538,5493,5449,5405,5360,5315,5269,5224,5177,5130,5084,5037,4989,4942,4892,4842,4792,4740,4688,4635,4584,4530,4473,4420,4370,4321,4271,4220,4170,4119,4067,4016,3964,3912,3858,3805,3751,3696,3626,3553,3501,3448,3396,3342,3287,3238,3188,3137,3086,3034,2982,2928,2875,2822,2768,2713,2660,2609,2553,2495,2437,2380,2323,2269,2208,2133,2052,1982,1913,1841,1775,1706,1640,1566,1500,1433,1354,1263,1200,1149,1096,1037,975,929,885,834,781,743,700,658,615,576,537,496,454,417,388,354,330,298,190,155,139,134,129,112,94,62,62,57,47,41,31,20,14,11,9,7,3,3
Липецкая область,21805,21662,21517,21374,21229,21082,20933,20783,20632,20483,20333,20182,20032,19879,19724,19568,19414,19259,19107,18953,18800,18648,18494,18339,18184,18021,17853,17687,17522,17358,17196,17027,16855,16685,16519,16357,16192,16029,15868,15704,15542,15382,15224,15067,14905,14737,14571,14407,14244,14072,13905,13748,13593,13433,13281,13131,12983,12837,12684,12536,12384,12235,12085,11939,11795,11650,11510,11375,11242,11112,10984,10860,10736,10616,10497,10381,10267,10152,10040,9931,9825,9722,9621,9522,9425,9327,9229,9130,9034,8936,8839,8741,8645,8552,8457,8365,8275,8193,8107,8021,7937,7855,7769,7686,7604,7520,7438,7358,7280,7204,7130,7059,6992,6924,6857,6793,6735,6679,6625,6568,6516,6464,6414,6366,6320,6275,6231,6188,6143,6101,6061,6024,5987,5951,5915,5881,5847,5812,5779,5747,5715,5682,5650,5616,5582,5549,5518,5488,5456,5423,5386,5351,5318,5288,5257,5225,5193,5159,5125,5094,5063,5041,5020,5001,4985,4968,4952,4934,4918,4901,4883,4867,4850,4834,4816,4800,4783,4766,4750,4731,4713,4697,4682,4665,4646,4631,4612,4594,4578,4565,4550,4536,4522,4510,4499,4488,4474,4460,4448,4435,4423,4410,4395,4374,4349,4318,4287,4255,4223,4190,4158,4125,4093,4060,4026,3992,3958,3923,3888,3852,3816,3779,3741,3702,3663,3623,3583,3536,3487,3438,3388,3337,3285,3228,3171,3113,3053,2995,2937,2878,2817,2758,2697,2637,2577,2516,2452,2388,2326,2261,2194,2123,2048,1976,1906,1836,1764,1696,1633,1568,1503,1439,1377,1298,1240,1186,1133,1083,1036,990,944,897,849,801,752,703,656,610,563,520,481,446,415,384,356,330,306,284,263,238,213,189,169,149,129,108,96,85,74,69,63,58,55,48,44,26,26,18,18,18,15,11,10,10,9,8,5,5
Магаданская область,7958,7943,7927,7906,7889,7872,7853,7833,7813,7790,7770,7749,7727,7703,7679,7654,7624,7599,7574,7548,7520,7489,7459,7431,7403,7376,7351,7328,7304,7278,7248,7221,7191,7159,7121,7085,7048,7006,6967,6926,6886,6848,6808,6769,6728,6686,6648,6607,6564,6524,6480,6438,6394,6353,6313,6271,6227,6178,6132,6088,6043,6001,5954,5905,5858,5817,5774,5728,5684,5641,5595,5551,5509,5464,5422,5376,5331,5291,5249,5205,5164,5120,5076,5031,4987,4941,4898,4854,4808,4763,4716,4668,4623,4576,4527,4479,4431,4381,4333,4283,4235,4189,4143,4093,4047,3999,3953,3908,3865,3817,3771,3723,3674,3625,3577,3530,3482,3434,3389,3343,3297,3254,3211,3172,3131,3091,3049,3010,2971,2933,2899,2865,2830,2793,2756,2720,2680,2637,2594,2556,2522,2484,2451,2406,2372,2340,2308,2275,2241,2210,2181,2150,2116,2083,2049,2020,1992,1966,1943,1928,1904,1883,1857,1825,1809,1793,1787,1781,1765,1740,1721,1701,1688,1664,1651,1637,1619,1599,1576,1554,1520,1501,1484,1464,1442,1421,1402,1380,1357,1336,1317,1298,1278,1269,1263,1243,1231,1216,1203,1186,1168,1161,1144,1132,1120,1098,1074,1068,1055,1038,1014,1001,978,951,947,935,928,907,875,833,791,764,731,697,669,654,642,620,609,606,586,559,540,521,519,511,501,480,459,432,397,359,348,339,327,313,286,271,260,248,246,243,238,238,230,228,227,223,223,218,209,206,201,196,189,186,174,171,163,162,157,155,155,154,146,138,136,131,116,116,114,110,101,99,92,91,88,87,78,76,67,65,63,63,62,18,18,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Москва,941696,939482,937450,935355,933810,932109,930072,927788,925358,922559,919662,917825,915508,913126,910057,907389,904352,900894,898442,895327,891648,887636,882962,877428,871535,867215,862214,857568,853352,848452,843425,838554,833412,828570,824979,821128,815676,809769,803203,798098,792457,786204,779584,772104,764789,756586,750934,743697,735900,728637,722178,715241,708530,703502,698084,692210,685785,679163,671948,665218,660073,654841,647562,640050,632057,625189,617439,612248,605724,599213,592415,585095,577177,571102,566417,560579,553713,547138,539970,533068,526630,522456,516574,510214,503943,497516,491542,485545,481068,475166,468269,462518,456689,450436,445181,439355,434205,429409,424148,419196,413928,409022,405352,401040,395816,391361,386908,381430,377017,372628,367629,362253,357643,352995,347946,344004,339431,334813,330418,325917,321812,318111,314788,311559,307477,303940,300613,297729,295025,292601,290293,287993,285776,283760,281968,280408,279358,278388,277408,276493,275633,274808,274003,273273,272523,271793,271097,270447,269777,269079,268384,267742,267047,266357,265737,265066,264374,263684,263059,262418,261733,261038,260361,259707,259070,258430,257749,257124,256513,255826,255136,254448,253757,253064,252374,251686,250991,250303,249611,248922,248228,247534,246845,246154,245468,244784,244097,243406,242713,242049,241359,240664,239986,239315,238641,237947,237264,236616,235971,235363,234725,234123,233545,232954,232376,231801,231270,230642,230029,229357,228678,228000,227363,226795,226174,225545,224860,224210,223530,222871,222209,221598,220853,220071,219354,218604,217791,216906,216095,215014,213946,212978,211921,210785,209745,208680,207264,205905,204428,202935,201221,199785,198590,197018,195017,193061,191069,189214,187216,185374,183088,180791,178196,175829,173497,171443,169303,166473,163913,161397,158207,155219,152306,149607,146062,142824,138969,135464,130716,126004,121301,115909,109740,104189,98522,92676,85973,80115,74401,68606,62658,57300,53739,50646,48426,45351,42480,39509,36897,33940,31981,29433,26350,24324,20754,18105,16146,14776,13002,11513,10158,8852,7822,6698,5841,5181,4484,3893,3357,2923,2475,1880,1613,1226,1014,817,703,546
Московская область,198368,197413,196467,195636,194863,193810,192742,191660,190591,189547,188608,187680,186551,185388,184254,183133,181991,180899,179905,178833,177452,176026,174620,173259,171996,170807,169724,168409,167117,165933,164707,163479,162382,161251,160001,158462,156898,155330,153843,152235,150688,149082,147473,145858,144282,142744,141204,139706,138183,136644,135130,133645,132174,130697,129305,127821,126377,124984,123614,122263,120891,119550,118235,116940,115694,114471,113278,112130,111026,109962,108893,107828,106770,105748,104743,103773,102802,101853,100937,100050,99170,98306,97467,96657,95845,95059,94299,93570,92869,92184,91524,90880,90251,89646,89058,88489,87922,87366,86821,86286,85762,85248,84743,84247,83748,83257,82777,82305,81843,81377,80951,80485,80025,79567,79119,78680,78251,77831,77391,76972,76556,76145,75712,75317,74970,74631,74335,74076,73832,73602,73380,73171,72959,72733,72529,72321,72116,71901,71729,71536,71348,71173,71008,70831,70658,70507,70344,70178,70008,69833,69664,69500,69365,69199,69032,68864,68700,68537,68379,68223,68077,67912,67749,67599,67451,67308,67165,67017,66853,66692,66541,66384,66233,66088,65935,65781,65628,65472,65324,65172,65018,64865,64716,64555,64397,64238,64076,63915,63755,63598,63449,63299,63155,63018,62892,62753,62609,62461,62318,62173,62045,61896,61743,61572,61399,61233,61059,60886,60688,60492,60295,60107,59908,59716,59522,59345,59053,58766,58491,58193,57876,57570,57269,56934,56609,56243,55853,55386,54879,54375,53869,53320,52729,52083,51416,50736,50042,49353,48636,47911,47181,46457,45722,44983,44232,43478,42720,41958,41191,40455,39723,38995,38238,37503,36730,35956,35163,34346,33515,32653,31807,30983,30091,29188,28290,27369,26462,25525,24580,23662,22700,21637,20558,19425,18350,17432,16590,15761,14939,14136,13314,12507,11710,10917,10231,9708,9070,8494,7889,7278,6590,5959,5241,4663,3954,3526,3054,2587,2315,1855,1360,1082,930,748,549,454,387,305,260,211,177,134,119,119,112,85,49,41
Мурманская область,44084,43937,43788,43634,43478,43320,43160,42996,42823,42643,42456,42258,42055,41848,41638,41419,41191,40959,40721,40477,40236,39989,39735,39496,39262,39026,38789,38555,38319,38081,37840,37600,37358,37114,36869,36618,36363,36106,35845,35581,35313,35042,34768,34495,34220,33943,33667,33389,33110,32827,32540,32258,31981,31700,31421,31138,30857,30571,30286,30002,29715,29427,29141,28852,28565,28282,27996,27706,27419,27135,26854,26577,26302,26025,25745,25460,25182,24907,24639,24372,24103,23843,23587,23328,23076,22821,22569,22318,22073,21834,21600,21370,21147,20928,20703,20482,20266,20056,19852,19656,19457,19260,19067,18878,18691,18502,18316,18136,17965,17793,17623,17452,17280,17110,16945,16788,16629,16479,16328,16176,16028,15885,15743,15610,15486,15375,15270,15174,15082,14989,14902,14819,14738,14661,14586,14510,14435,14362,14290,14215,14138,14060,13984,13911,13836,13764,13695,13628,13560,13493,13424,13358,13295,13233,13173,13110,13040,12967,12892,12827,12760,12696,12631,12565,12496,12428,12364,12302,12236,12171,12108,12046,11981,11914,11849,11787,11720,11656,11589,11517,11439,11350,11252,11136,11017,10895,10769,10640,10507,10370,10232,10093,9947,9791,9627,9469,9311,9146,8976,8799,8616,8444,8272,8105,7943,7780,7597,7410,7228,7049,6866,6685,6512,6359,6196,6038,5903,5766,5632,5485,5346,5211,5093,4994,4901,4811,4732,4660,4586,4516,4431,4346,4280,4219,4155,4083,4011,3946,3889,3818,3760,3700,3674,3576,3530,3472,3422,3375,3342,3296,3264,3222,3181,3136,3076,3030,2981,2936,2900,2868,2834,2781,2714,2684,2666,2654,2644,2551,2492,2471,2428,2416,2371,2340,2322,2272,2237,2101,1974,1694,1456,1313,1227,1126,1056,989,961,856,663,603,506,435,400,354,321,314,306,265,128,128,128,67,67,44,43,18,18,15,15,15,15,11,11,5,3,1,1,1
Ненецкий автономный округ,944,940,932,929,926,920,917,912,905,898,890,882,876,873,865,860,859,856,850,845,843,837,832,829,825,819,818,815,815,812,811,808,807,807,804,803,796,790,786,784,778,775,769,762,757,754,751,749,747,741,739,735,729,726,723,718,714,706,699,694,688,685,680,673,666,660,659,658,655,650,647,645,641,637,634,633,628,621,612,602,594,587,582,574,566,558,550,542,534,526,521,513,507,500,491,484,478,474,468,457,451,433,429,424,420,415,407,402,401,398,392,388,380,372,363,361,356,353,351,348,342,340,339,338,338,338,336,335,333,332,330,330,330,330,329,329,327,325,325,325,324,324,324,324,323,323,323,323,322,320,320,319,319,318,316,316,315,315,314,314,314,314,311,311,309,305,303,303,303,303,299,299,297,297,297,297,289,289,289,288,287,287,287,284,284,283,275,275,275,274,274,273,268,265,264,264,264,261,260,260,260,260,258,257,256,255,254,251,250,215,190,190,178,171,158,158,152,131,129,107,107,104,102,102,102,96,95,95,95,95,95,95,90,90,90,89,85,82,81,81,80,80,80,80,80,80,80,75,74,74,73,72,71,69,68,66,64,62,62,62,60,59,58,57,54,54,52,52,50,50,50,50,49,49,49,48,47,47,47,45,34,34,33,30,29,11,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Нижегородская область,87256,86784,86311,85840,85363,84904,84436,83972,83500,83029,82560,82086,81625,81137,80648,80161,79670,79177,78689,78218,77739,77255,76770,76287,75811,75355,74913,74439,73967,73524,73057,72654,72190,71785,71303,70820,70321,69815,69314,68811,68314,67812,67313,66812,66307,65805,65307,64804,64303,63804,63302,62799,62303,61811,61322,60829,60332,59831,59336,58837,58343,57861,57376,56892,56397,55901,55420,54947,54485,54027,53556,53092,52633,52180,51723,51280,50833,50385,49934,49490,49049,48617,48210,47807,47395,46954,46521,46100,45686,45284,44873,44444,44010,43579,43157,42740,42349,41960,41566,41169,40768,40382,40005,39636,39260,38864,38480,38114,37760,37428,37062,36770,36481,36193,35908,35627,35350,35076,34805,34543,34286,34039,33805,33578,33374,33176,32975,32776,32585,32399,32224,32056,31891,31724,31558,31390,31230,31083,30926,30764,30599,30435,30274,30108,29943,29804,29657,29498,29342,29181,29018,28859,28713,28562,28409,28255,28110,27967,27820,27688,27550,27407,27262,27129,26995,26866,26744,26630,26513,26391,26264,26132,25994,25878,25758,25635,25510,25382,25252,25128,25009,24889,24771,24654,24551,24446,24345,24236,24097,23951,23792,23647,23489,23335,23172,22984,22807,22623,22429,22227,22010,21814,21623,21405,21200,20984,20763,20534,20341,20129,19907,19684,19465,19241,19024,18826,18614,18397,18172,17943,17709,17481,17278,17060,16838,16624,16414,16197,15990,15774,15555,15328,15100,14881,14648,14410,14204,13995,13780,13562,13341,13038,12734,12442,12137,11820,11499,11169,10850,10503,10149,9834,9533,9244,8963,8735,8504,8276,8047,7826,7615,7413,7209,6952,6692,6413,6132,5903,5596,5358,5087,4733,4442,4180,3886,3610,3298,3026,2852,2695,2443,2123,1944,1794,1663,1574,1367,1214,1096,1002,929,860,759,646,517,458,404,339,292,224,194,152,119,87,80,56,56,47,25,25,25,12,12,11,11,11,8,8
Новгородская область,24883,24752,24616,24477,24337,24192,24045,23895,23742,23582,23417,23245,23075,22904,22729,22550,22374,22193,22010,21830,21647,21462,21280,21092,20902,20716,20535,20279,20093,19903,19703,19520,19335,19145,18938,18730,18520,18309,18096,17888,17681,17470,17261,17051,16844,16635,16423,16213,16005,15799,15590,15383,15172,14964,14754,14542,14333,14121,13911,13703,13492,13279,13070,12860,12649,12441,12228,12018,11818,11615,11414,11209,11009,10806,10611,10426,10248,10073,9903,9734,9564,9397,9231,9074,8924,8784,8646,8515,8388,8266,8149,8036,7927,7822,7724,7631,7541,7452,7361,7274,7187,7103,7018,6937,6857,6780,6702,6627,6551,6477,6402,6334,6264,6199,6136,6072,6011,5949,5885,5825,5766,5705,5647,5588,5530,5473,5415,5358,5303,5252,5203,5158,5115,5073,5032,4993,4953,4923,4891,4862,4832,4803,4775,4745,4716,4689,4661,4635,4609,4580,4554,4527,4501,4477,4452,4428,4406,4385,4363,4340,4319,4296,4274,4254,4235,4216,4195,4175,4155,4132,4113,4092,4070,4050,4029,4010,3990,3969,3950,3933,3917,3902,3886,3872,3859,3843,3830,3811,3791,3766,3746,3729,3710,3690,3672,3656,3639,3621,3603,3584,3569,3549,3530,3510,3489,3470,3450,3431,3413,3376,3337,3296,3256,3217,3178,3142,3105,3068,3022,2978,2931,2884,2839,2792,2742,2698,2653,2591,2535,2478,2417,2362,2303,2245,2183,2121,2063,2011,1963,1913,1867,1823,1779,1734,1676,1634,1588,1546,1493,1430,1353,1281,1230,1167,1094,1049,1003,914,844,784,749,727,695,685,652,631,598,584,570,555,541,514,497,469,457,438,417,399,372,348,322,297,279,266,254,244,211,186,171,157,140,114,108,98,80,74,53,26,26,26,18,18,18,12,5,5,5,3,3,3,3,3,3,3,3,1,1,1
Новосибирская область,33044,32917,32786,32652,32517,32385,32251,32118,31982,31843,31709,31571,31440,31306,31171,31034,30894,30747,30603,30461,30323,30181,30035,29896,29752,29612,29476,29338,29198,29059,28916,28770,28629,28487,28341,28191,28037,27885,27736,27583,27427,27272,27115,26955,26790,26632,26471,26305,26140,25971,25805,25634,25467,25304,25136,24966,24798,24629,24457,24287,24119,23945,23767,23587,23408,23232,23046,22864,22687,22508,22332,22153,21972,21785,21606,21431,21259,21081,20898,20712,20536,20354,20175,20001,19825,19639,19455,19277,19092,18913,18739,18562,18381,18205,18025,17844,17662,17483,17306,17124,16939,16761,16581,16398,16221,16040,15861,15686,15506,15320,15136,14979,14830,14695,14566,14439,14319,14205,14090,13972,13877,13790,13703,13621,13543,13470,13393,13314,13229,13147,13070,12999,12930,12854,12782,12715,12652,12587,12526,12471,12410,12356,12307,12260,12207,12148,12093,12044,11994,11941,11885,11829,11777,11727,11670,11607,11551,11501,11456,11404,11344,11289,11238,11192,11141,11094,11035,10978,10928,10872,10819,10775,10724,10674,10621,10574,10518,10451,10398,10334,10269,10182,10130,10031,9939,9846,9749,9654,9548,9444,9346,9241,9140,9033,8930,8826,8717,8616,8511,8401,8288,8186,8077,7959,7845,7728,7608,7505,7386,7274,7153,7043,6932,6831,6724,6611,6505,6393,6282,6177,6085,5985,5876,5769,5671,5566,5458,5356,5248,5142,5033,4928,4819,4711,4604,4497,4394,4285,4177,4069,3960,3858,3752,3648,3546,3441,3334,3226,3122,3020,2914,2809,2705,2596,2493,2397,2300,2213,2124,2043,1960,1881,1805,1728,1652,1581,1511,1447,1376,1300,1226,1171,1100,1025,949,876,809,746,681,620,569,526,471,436,407,347,305,247,209,168,151,135,132,108,86,76,64,53,36,36,28,28,21,18,13,11,11,11,10,10,10,10,9,9,8,7,5,5
